Year,Number_1_Release,Weekend_Number
2004,Bridget Jones: The Edge of Reason,46
2004,The Grudge,45
2004,Shark Tale,44
2004,Shark Tale,43
2004,Shark Tale,42
2004,Bride & Prejudice,41
2004,Wimbledon,40
2004,Wimbledon,39
2004,Collateral,38
2004,Open Water,37
2004,The Terminal,36
2004,Dodgeball: A True Underdog Story,35
2004,The Village,34
2004,The Bourne Supremacy,33
2004,"I, Robot",32
2004,Spider-Man 2,31
2004,Spider-Man 2,30
2004,Spider-Man 2,29
2004,Shrek 2,28
2004,Shrek 2,27
2004,Harry Potter and the Prisoner of Azkaban,26
2004,Harry Potter and the Prisoner of Azkaban,25
2004,Harry Potter and the Prisoner of Azkaban,24
2004,Harry Potter and the Prisoner of Azkaban,23
2004,The Day After Tomorrow,22
2004,Troy,21
2004,Van Helsing,20
2004,Van Helsing,19
2004,Kill Bill: Vol. 2,18
2004,Kill Bill: Vol. 2,17
2004,Scooby-Doo 2: Monsters Unleashed,16
2004,Scooby-Doo 2: Monsters Unleashed,15
2004,Scooby-Doo 2: Monsters Unleashed,14
2004,Dawn of the Dead,13
2004,Starsky & Hutch,12
2004,Mona Lisa Smile,11
2004,Along Came Polly,10
2004,Along Came Polly,9
2004,The Haunted Mansion,8
2004,Cheaper by the Dozen,7
2004,School of Rock,6
2004,Scary Movie 3,5
2004,Scary Movie 3,4
2004,The Lord of the Rings: The Return of the King,3
2004,The Lord of the Rings: The Return of the King,2
2004,The Lord of the Rings: The Return of the King,1
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",52
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",51
2005,King Kong,50
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",49
2005,Harry Potter and the Goblet of Fire,48
2005,Harry Potter and the Goblet of Fire,47
2005,Harry Potter and the Goblet of Fire,46
2005,In Her Shoes,45
2005,Nanny McPhee,44
2005,Wallace & Gromit: The Curse of the Were-Rabbit,43
2005,Wallace & Gromit: The Curse of the Were-Rabbit,42
2005,Wallace & Gromit: The Curse of the Were-Rabbit,41
2005,Serenity,40
2005,Pride & Prejudice,39
2005,Pride & Prejudice,38
2005,Pride & Prejudice,37
2005,The Longest Yard,36
2005,The 40-Year-Old Virgin,35
2005,The Dukes of Hazzard,34
2005,Charlie and the Chocolate Factory,33
2005,Charlie and the Chocolate Factory,32
2005,Charlie and the Chocolate Factory,31
2005,Charlie and the Chocolate Factory,30
2005,Fantastic Four,29
2005,Madagascar,28
2005,War of the Worlds,27
2005,War of the Worlds,26
2005,Batman Begins,25
2005,Batman Begins,24
2005,Mr. & Mrs. Smith,23
2005,Star Wars: Episode III - Revenge of the Sith,22
2005,Star Wars: Episode III - Revenge of the Sith,21
2005,Star Wars: Episode III - Revenge of the Sith,20
2005,Kingdom of Heaven,19
2005,Kingdom of Heaven,18
2005,The Hitchhiker's Guide to the Galaxy,17
2005,The Interpreter,16
2005,The Interpreter,15
2005,Sahara,14
2005,The Ring Two,13
2005,Hitch,12
2005,Robots,11
2005,Hitch,10
2005,Boogeyman,9
2005,Hide and Seek,8
2005,Meet the Fockers,7
2005,Meet the Fockers,6
2005,Meet the Fockers,5
2005,Meet the Fockers,4
2005,Closer,3
2005,Closer,2
2005,White Noise,1
2006,Night at the Museum,52
2006,Happy Feet,51
2006,Happy Feet,50
2006,Happy Feet,49
2006,Casino Royale,48
2006,Casino Royale,47
2006,Casino Royale,46
2006,Borat,45
2006,Borat,44
2006,Saw III,43
2006,The Departed,42
2006,The Departed,41
2006,The Devil Wears Prada,40
2006,Click,39
2006,Children of Men,38
2006,Talladega Nights: The Ballad of Ricky Bobby,37
2006,"You, Me and Dupree",36
2006,"You, Me and Dupree",35
2006,"You, Me and Dupree",34
2006,Snakes on a Plane,33
2006,Cars,32
2006,Miami Vice,31
2006,Cars,30
2006,Pirates of the Caribbean: Dead Man's Chest,29
2006,Pirates of the Caribbean: Dead Man's Chest,28
2006,Pirates of the Caribbean: Dead Man's Chest,27
2006,Over the Hedge,26
2006,The Fast and the Furious: Tokyo Drift,25
2006,The Fast and the Furious: Tokyo Drift,24
2006,The Omen,23
2006,X-Men: The Last Stand,22
2006,X-Men: The Last Stand,21
2006,The Da Vinci Code,20
2006,Mission: Impossible III,19
2006,Mission: Impossible III,18
2006,Ice Age: The Meltdown,17
2006,Ice Age: The Meltdown,16
2006,Ice Age: The Meltdown,15
2006,Ice Age: The Meltdown,14
2006,Inside Man,13
2006,Inside Man,12
2006,The Pink Panther,11
2006,The Hills Have Eyes,10
2006,Date Movie,9
2006,Date Movie,8
2006,Chicken Little,7
2006,Chicken Little,6
2006,Zathura: A Space Adventure,5
2006,Fun with Dick and Jane,4
2006,Fun with Dick and Jane,3
2006,Jarhead,2
2006,King Kong,1
2007,I Am Legend,52
2007,Enchanted,51
2007,The Golden Compass,50
2007,The Golden Compass,49
2007,Fred Claus,48
2007,American Gangster,47
2007,American Gangster,46
2007,Good Luck Chuck,45
2007,Ratatouille,44
2007,Ratatouille,43
2007,Ratatouille,42
2007,Ratatouille,41
2007,The Heartbreak Kid,40
2007,Run Fatboy Run,39
2007,Run Fatboy Run,38
2007,Run Fatboy Run,37
2007,Run Fatboy Run,36
2007,The Bourne Ultimatum,35
2007,The Bourne Ultimatum,34
2007,The Bourne Ultimatum,33
2007,Rush Hour 3,32
2007,The Simpsons Movie,31
2007,The Simpsons Movie,30
2007,Harry Potter and the Order of the Phoenix,29
2007,Harry Potter and the Order of the Phoenix,28
2007,Shrek the Third,27
2007,Shrek the Third,26
2007,Fantastic Four: Rise of the Silver Surfer,25
2007,Fantastic Four: Rise of the Silver Surfer,24
2007,Ocean's Thirteen,23
2007,Pirates of the Caribbean: At World's End,22
2007,Pirates of the Caribbean: At World's End,21
2007,Spider-Man 3,20
2007,Spider-Man 3,19
2007,Spider-Man 3,18
2007,Next,17
2007,Wild Hogs,16
2007,Wild Hogs,15
2007,Mr. Bean's Holiday,14
2007,Mr. Bean's Holiday,13
2007,300,12
2007,Norbit,11
2007,Norbit,10
2007,Hot Fuzz,9
2007,Hot Fuzz,8
2007,Hot Fuzz,7
2007,Music and Lyrics,6
2007,Dreamgirls,5
2007,Rocky Balboa,4
2007,Rocky Balboa,3
2007,The Pursuit of Happyness,2
2007,Night at the Museum,1
2008,Yes Man,52
2008,Twilight,51
2008,The Day the Earth Stood Still,50
2008,Madagascar: Escape 2 Africa,49
2008,Four Christmases,48
2008,Quantum of Solace,47
2008,Quantum of Solace,46
2008,Quantum of Solace,45
2008,Quantum of Solace,44
2008,High School Musical 3: Senior Year,43
2008,Burn After Reading,42
2008,The House Bunny,41
2008,How to Lose Friends & Alienate People,40
2008,Tropic Thunder,39
2008,Tropic Thunder,38
2008,Pineapple Express,37
2008,RocknRolla,36
2008,Step Brothers,35
2008,Hellboy II: The Golden Army,34
2008,The Dark Knight,33
2008,The Mummy: Tomb of the Dragon Emperor,32
2008,The Dark Knight,31
2008,The Dark Knight,30
2008,Mamma Mia!,29
2008,Mamma Mia!,28
2008,Hancock,27
2008,The Chronicles of Narnia: Prince Caspian,26
2008,The Incredible Hulk,25
2008,The Incredible Hulk,24
2008,Sex and the City,23
2008,Sex and the City,22
2008,Indiana Jones and the Kingdom of the Crystal Skull,21
2008,Iron Man,20
2008,Iron Man,19
2008,Iron Man,18
2008,Forgetting Sarah Marshall,17
2008,21,16
2008,21,15
2008,27 Dresses,14
2008,27 Dresses,13
2008,Horton Hears a Who!,12
2008,"10,000 BC",11
2008,Vantage Point,10
2008,The Bank Job,9
2008,Jumper,8
2008,Jumper,7
2008,National Treasure: Book of Secrets,6
2008,Cloverfield,5
2008,Sweeney Todd: The Demon Barber of Fleet Street,4
2008,Aliens vs. Predator: Requiem,3
2008,I Am Legend,2
2008,I Am Legend,1
2009,Avatar,51
2009,A Christmas Carol,50
2009,Paranormal Activity,49
2009,The Twilight Saga: New Moon,48
2009,The Twilight Saga: New Moon,47
2009,2012,46
2009,A Christmas Carol,45
2009,This Is It,44
2009,Up,43
2009,Up,42
2009,Up,41
2009,Fame,40
2009,Fame,39
2009,Cloudy with a Chance of Meatballs,38
2009,District 9,37
2009,District 9,36
2009,The Final Destination,35
2009,Inglourious Basterds,34
2009,The Time Traveler's Wife,33
2009,The Ugly Truth,32
2009,Harry Potter and the Half-Blood Prince,31
2009,Harry Potter and the Half-Blood Prince,30
2009,Harry Potter and the Half-Blood Prince,29
2009,Brüno,28
2009,Ice Age: Dawn of the Dinosaurs,27
2009,Transformers: Revenge of the Fallen,26
2009,Transformers: Revenge of the Fallen,25
2009,The Hangover,24
2009,Terminator Salvation,23
2009,Night at the Museum: Battle of the Smithsonian,22
2009,Night at the Museum: Battle of the Smithsonian,21
2009,Angels & Demons,20
2009,Star Trek,19
2009,X-Men Origins: Wolverine,18
2009,State of Play,17
2009,Monsters vs. Aliens,16
2009,Fast & Furious,15
2009,Monsters vs. Aliens,14
2009,Knowing,13
2009,Marley & Me,12
2009,Marley & Me,11
2009,Watchmen,10
2009,Slumdog Millionaire,9
2009,Bolt,8
2009,Bolt,7
2009,The Curious Case of Benjamin Button,6
2009,Slumdog Millionaire,5
2009,Slumdog Millionaire,4
2009,Slumdog Millionaire,3
2009,Role Models,2
2009,Yes Man,1
2010,Gulliver's Travels,53
2010,Little Fockers,52
2010,TRON: Legacy,51
2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,50
2010,Harry Potter and the Deathly Hallows: Part 1,49
2010,Harry Potter and the Deathly Hallows: Part 1,48
2010,Harry Potter and the Deathly Hallows: Part 1,47
2010,Due Date,46
2010,Due Date,45
2010,Saw 3D,44
2010,Paranormal Activity 2,43
2010,Despicable Me,42
2010,Wall Street: Money Never Sleeps,41
2010,The Other Guys,40
2010,The Other Guys,39
2010,The Other Guys,38
2010,Resident Evil: Afterlife,37
2010,The Last Exorcism,36
2010,Grown Ups,35
2010,The Expendables,34
2010,Toy Story 3,33
2010,Toy Story 3,32
2010,Toy Story 3,31
2010,Toy Story 3,30
2010,Inception,29
2010,The Twilight Saga: Eclipse,28
2010,Shrek Forever After,27
2010,Get Him to the Greek,26
2010,Killers,25
2010,Sex and the City 2,24
2010,Sex and the City 2,23
2010,Sex and the City 2,22
2010,StreetDance 2,21
2010,Robin Hood,20
2010,Iron Man 2,19
2010,Iron Man 2,18
2010,Date Night,17
2010,Dear John,16
2010,Clash of the Titans,15
2010,Clash of the Titans,14
2010,Nanny McPhee Returns,13
2010,Alice in Wonderland,12
2010,Alice in Wonderland,11
2010,Alice in Wonderland,10
2010,Avatar,9
2010,Avatar,8
2010,Valentine's Day,7
2010,Avatar,6
2010,Avatar,5
2010,Avatar,4
2010,Avatar,3
2010,Avatar,2
2010,Avatar,1
2011,Mission: Impossible - Ghost Protocol,52
2011,Sherlock Holmes: A Game of Shadows,51
2011,Sherlock Holmes: A Game of Shadows,50
2011,Puss in Boots,49
2011,Arthur Christmas,48
2011,The Twilight Saga: Breaking Dawn - Part 1,47
2011,The Twilight Saga: Breaking Dawn - Part 1,46
2011,Immortals,45
2011,The Adventures of Tintin,44
2011,The Adventures of Tintin,43
2011,Paranormal Activity 3,42
2011,Johnny English Reborn,41
2011,Johnny English Reborn,40
2011,Tinker Tailor Soldier Spy,39
2011,Tinker Tailor Soldier Spy,38
2011,Tinker Tailor Soldier Spy,37
2011,The Inbetweeners,36
2011,The Inbetweeners,35
2011,The Inbetweeners,34
2011,The Inbetweeners,33
2011,Rise of the Planet of the Apes,32
2011,Harry Potter and the Deathly Hallows: Part 2,31
2011,Harry Potter and the Deathly Hallows: Part 2,30
2011,Harry Potter and the Deathly Hallows: Part 2,29
2011,Harry Potter and the Deathly Hallows: Part 2,28
2011,Transformers: Dark of the Moon,27
2011,Transformers: Dark of the Moon,26
2011,Bridesmaids,25
2011,Green Lantern,24
2011,Kung Fu Panda 2,23
2011,X-Men: First Class,22
2011,The Hangover Part II,21
2011,Pirates of the Caribbean: On Stranger Tides,20
2011,Thor,19
2011,Thor,18
2011,Thor,17
2011,Fast Five,16
2011,Scream 4,15
2011,Rio,14
2011,Hop,13
2011,Limitless,12
2011,Rango,11
2011,Battle Los Angeles,10
2011,Rango,9
2011,Gnomeo & Juliet,8
2011,Paul,7
2011,Gnomeo & Juliet,6
2011,Tangled,5
2011,Tangled,4
2011,The King's Speech,3
2011,The King's Speech,2
2011,The King's Speech,1
2012,The Hobbit: An Unexpected Journey,52
2012,The Hobbit: An Unexpected Journey,51
2012,The Hobbit: An Unexpected Journey,50
2012,Rise of the Guardians,49
2012,Skyfall,48
2012,The Twilight Saga: Breaking Dawn - Part 2,47
2012,The Twilight Saga: Breaking Dawn - Part 2,46
2012,Skyfall,45
2012,Skyfall,44
2012,Skyfall,43
2012,Madagascar 3: Europe's Most Wanted,42
2012,Taken 2,41
2012,Taken 2,40
2012,Looper,39
2012,ParaNorman,38
2012,The Sweeney,37
2012,Dredd,36
2012,Total Recall,35
2012,Brave,34
2012,Brave,33
2012,Ted,32
2012,Ted,31
2012,The Dark Knight Rises,30
2012,The Dark Knight Rises,29
2012,Ice Age: Continental Drift,28
2012,The Amazing Spider-Man,27
2012,Ice Age: Continental Drift,26
2012,Abraham Lincoln: Vampire Hunter,25
2012,Prometheus,24
2012,Prometheus,23
2012,Prometheus,22
2012,Men in Black 3,21
2012,The Dictator,20
2012,The Avengers,19
2012,The Avengers,18
2012,The Avengers,17
2012,Battleship,16
2012,Battleship,15
2012,Titanic,14
2012,The Hunger Games,13
2012,The Hunger Games,12
2012,The Devil Inside,11
2012,John Carter,10
2012,The Best Exotic Marigold Hotel,9
2012,The Woman in Black,8
2012,The Woman in Black,7
2012,The Woman in Black,6
2012,Chronicle,5
2012,War Horse,4
2012,War Horse,3
2012,War Horse,2
2012,Mission: Impossible - Ghost Protocol,1
2013,The Hobbit: The Desolation of Smaug,52
2013,The Hobbit: The Desolation of Smaug,51
2013,The Hobbit: The Desolation of Smaug,50
2013,Frozen,49
2013,The Hunger Games: Catching Fire,48
2013,The Hunger Games: Catching Fire,47
2013,Gravity,46
2013,Gravity,45
2013,Thor: The Dark World,44
2013,Captain Phillips,43
2013,Turbo,42
2013,Prisoners,41
2013,Prisoners,40
2013,Prisoners,39
2013,Rush,38
2013,Insidious: Chapter 2,37
2013,About Time,36
2013,One Direction: This Is Us,35
2013,Elysium,34
2013,Kick-Ass 2,33
2013,Alan Partridge,32
2013,The Heat,31
2013,The Wolverine,30
2013,Monsters University,29
2013,Monsters University,28
2013,Despicable Me 2,27
2013,Despicable Me 2,26
2013,Man of Steel,25
2013,Man of Steel,24
2013,After Earth,23
2013,The Hangover Part III,22
2013,The Hangover Part III,21
2013,Fast & Furious 6,20
2013,Star Trek Into Darkness,19
2013,Iron Man 3,18
2013,Iron Man 3,17
2013,Olympus Has Fallen,16
2013,Oblivion,15
2013,The Croods,14
2013,The Croods,13
2013,The Croods,12
2013,Oz the Great and Powerful,11
2013,Oz the Great and Powerful,10
2013,Hansel & Gretel: Witch Hunters,9
2013,Wreck-It Ralph,8
2013,A Good Day to Die Hard,7
2013,Wreck-It Ralph,6
2013,Les Misérables,5
2013,Les Misérables,4
2013,Les Misérables,3
2013,Les Misérables,2
2013,The Hobbit: An Unexpected Journey,1
2014,The Hobbit: The Battle of the Five Armies,52
2014,The Hobbit: The Battle of the Five Armies,51
2014,The Hobbit: The Battle of the Five Armies,50
2014,Paddington,49
2014,Paddington,48
2014,The Hunger Games: Mockingjay - Part 1,47
2014,Interstellar,46
2014,Interstellar,45
2014,Teenage Mutant Ninja Turtles,44
2014,Fury,43
2014,Teenage Mutant Ninja Turtles,42
2014,Gone Girl,41
2014,Gone Girl,40
2014,Billy Elliot,39
2014,The Boxtrolls,38
2014,The Boxtrolls,37
2014,Lucy,36
2014,Lucy,35
2014,Lucy,34
2014,The Inbetweeners 2,33
2014,The Inbetweeners 2,32
2014,Guardians of the Galaxy,31
2014,Dawn of the Planet of the Apes,30
2014,Dawn of the Planet of the Apes,29
2014,Transformers: Age of Extinction,28
2014,Mrs. Brown's Boys D'Movie,27
2014,Mrs. Brown's Boys D'Movie,26
2014,The Fault in Our Stars,25
2014,22 Jump Street,24
2014,22 Jump Street,23
2014,Maleficent,22
2014,X-Men: Days of Future Past,21
2014,Godzilla,20
2014,Neighbors,19
2014,The Amazing Spider-Man 2,18
2014,The Amazing Spider-Man 2,17
2014,The Amazing Spider-Man 2,16
2014,Captain America: The Winter Soldier,15
2014,Rio 2,14
2014,Captain America: The Winter Soldier,13
2014,The Grand Budapest Hotel,12
2014,Need for Speed,11
2014,300: Rise of an Empire,10
2014,The Lego Movie,9
2014,The Lego Movie,8
2014,The Lego Movie,7
2014,Mr. Peabody & Sherman,6
2014,The Wolf of Wall Street,5
2014,The Wolf of Wall Street,4
2014,The Wolf of Wall Street,3
2014,12 Years a Slave,2
2014,American Hustle,1
2015,Star Wars: Episode VII - The Force Awakens,52
2015,Star Wars: Episode VII - The Force Awakens,51
2015,The Hunger Games: Mockingjay - Part 2,50
2015,The Hunger Games: Mockingjay - Part 2,49
2015,The Hunger Games: Mockingjay - Part 2,48
2015,The Hunger Games: Mockingjay - Part 2,47
2015,Spectre,46
2015,Spectre,45
2015,Spectre,44
2015,Hotel Transylvania 2,43
2015,Hotel Transylvania 2,42
2015,The Martian,41
2015,The Martian,40
2015,Everest,39
2015,Everest,38
2015,Legend,37
2015,Straight Outta Compton,36
2015,Straight Outta Compton,35
2015,Paper Towns,34
2015,Pixels,33
2015,Fantastic Four,32
2015,Mission: Impossible - Rogue Nation,31
2015,Inside Out,30
2015,Ant-Man,29
2015,Minions,28
2015,Minions,27
2015,Minions,26
2015,Jurassic World,25
2015,Jurassic World,24
2015,Spy,23
2015,San Andreas,22
2015,Pitch Perfect 2,21
2015,Pitch Perfect 2,20
2015,Avengers: Age of Ultron,19
2015,Avengers: Age of Ultron,18
2015,Avengers: Age of Ultron,17
2015,Furious 7,16
2015,Furious 7,15
2015,Furious 7,14
2015,Cinderella,13
2015,Home,12
2015,The Second Best Exotic Marigold Hotel,11
2015,The Second Best Exotic Marigold Hotel,10
2015,The Second Best Exotic Marigold Hotel,9
2015,Fifty Shades of Grey,8
2015,Fifty Shades of Grey,7
2015,Big Hero 6,6
2015,Big Hero 6,5
2015,American Sniper,4
2015,Taken 3,3
2015,Taken 3,2
2015,The Theory of Everything,1
2016,Rogue One: A Star Wars Story,53
2016,Rogue One: A Star Wars Story,51
2016,Fantastic Beasts and Where to Find Them,50
2016,Fantastic Beasts and Where to Find Them,49
2016,Fantastic Beasts and Where to Find Them,48
2016,Fantastic Beasts and Where to Find Them,47
2016,Arrival,46
2016,Doctor Strange,45
2016,Doctor Strange,44
2016,Trolls,43
2016,The Girl on the Train,42
2016,The Girl on the Train,41
2016,Bridget Jones's Baby,40
2016,Bridget Jones's Baby,39
2016,Bridget Jones's Baby,38
2016,Sausage Party,37
2016,Sausage Party,36
2016,Finding Dory,35
2016,Finding Dory,34
2016,Suicide Squad,33
2016,Suicide Squad,32
2016,Finding Dory,31
2016,The BFG,30
2016,Ice Age: Collision Course,29
2016,The Secret Life of Pets,28
2016,The Secret Life of Pets,27
2016,The Secret Life of Pets,26
2016,The Conjuring 2,25
2016,Me Before You,24
2016,Warcraft,23
2016,X-Men: Apocalypse,22
2016,X-Men: Apocalypse,21
2016,Captain America: Civil War,20
2016,Captain America: Civil War,19
2016,Captain America: Civil War,18
2016,The Jungle Book,17
2016,The Jungle Book,16
2016,The Huntsman: Winter's War,15
2016,Batman v Superman: Dawn of Justice,14
2016,Batman v Superman: Dawn of Justice,13
2016,Kung Fu Panda 3,12
2016,Kung Fu Panda 3,11
2016,London Has Fallen,10
2016,Deadpool,9
2016,Deadpool,8
2016,Deadpool,7
2016,Goosebumps,6
2016,The Revenant,5
2016,The Revenant,4
2016,The Revenant,3
2016,Star Wars: Episode VII - The Force Awakens,2
2016,Star Wars: Episode VII - The Force Awakens,1
2017,Star Wars: Episode VIII - The Last Jedi,52
2017,Star Wars: Episode VIII - The Last Jedi,51
2017,Star Wars: Episode VIII - The Last Jedi,50
2017,Paddington 2,49
2017,Paddington 2,48
2017,Daddy's Home 2,47
2017,Justice League,46
2017,Paddington 2,45
2017,Murder on the Orient Express,44
2017,Thor: Ragnarok,43
2017,Blade Runner 2049,42
2017,The Lego Ninjago Movie,41
2017,Blade Runner 2049,40
2017,Kingsman: The Golden Circle,39
2017,Kingsman: The Golden Circle,38
2017,It,37
2017,It,36
2017,American Made,35
2017,American Made,34
2017,The Hitman's Bodyguard,33
2017,Dunkirk,32
2017,Dunkirk,31
2017,Dunkirk,30
2017,Dunkirk,29
2017,War for the Planet of the Apes,28
2017,Spider-Man: Homecoming,27
2017,Despicable Me 3,26
2017,Transformers: The Last Knight,25
2017,Wonder Woman,24
2017,Wonder Woman,23
2017,Wonder Woman,22
2017,Pirates of the Caribbean: Dead Men Tell No Tales,21
2017,King Arthur: Legend of the Sword,20
2017,Alien: Covenant,19
2017,Guardians of the Galaxy Vol. 2,18
2017,Guardians of the Galaxy Vol. 2,17
2017,The Fate of the Furious,16
2017,The Fate of the Furious,15
2017,The Boss Baby,14
2017,Beauty and the Beast,13
2017,Beauty and the Beast,12
2017,Beauty and the Beast,11
2017,Kong: Skull Island,10
2017,Logan,9
2017,The Lego Batman Movie,8
2017,The Lego Batman Movie,7
2017,The Lego Batman Movie,6
2017,Sing,5
2017,Sing,4
2017,La La Land,3
2017,La La Land,2
2017,Assassin's Creed,1
2018,Mary Poppins Returns,52
2018,Mary Poppins Returns,51
2018,Aquaman,50
2018,Ralph Breaks the Internet,49
2018,Ralph Breaks the Internet,48
2018,Fantastic Beasts: The Crimes of Grindelwald,47
2018,Fantastic Beasts: The Crimes of Grindelwald,46
2018,The Grinch,45
2018,Bohemian Rhapsody,44
2018,Bohemian Rhapsody,43
2018,A Star Is Born,42
2018,A Star Is Born,41
2018,Venom,40
2018,Night School,39
2018,The House with a Clock in Its Walls,38
2018,The Predator,37
2018,The Nun,36
2018,Christopher Robin,35
2018,Christopher Robin,34
2018,Christopher Robin,33
2018,The Meg,32
2018,Mamma Mia! Here We Go Again,31
2018,Mission: Impossible - Fallout,30
2018,Mamma Mia! Here We Go Again,29
2018,Incredibles 2,28
2018,Jurassic World: Fallen Kingdom,27
2018,Jurassic World: Fallen Kingdom,26
2018,Ocean's Eight,25
2018,Jurassic World: Fallen Kingdom,24
2018,Jurassic World: Fallen Kingdom,23
2018,Solo: A Star Wars Story,22
2018,Solo: A Star Wars Story,21
2018,Deadpool 2,20
2018,Avengers: Infinity War,19
2018,Avengers: Infinity War,18
2018,Avengers: Infinity War,17
2018,Rampage,16
2018,Rampage,15
2018,Peter Rabbit,14
2018,Peter Rabbit,13
2018,Peter Rabbit,12
2018,Peter Rabbit,11
2018,Black Panther,10
2018,Black Panther,9
2018,Black Panther,8
2018,Black Panther,7
2018,Fifty Shades Freed,6
2018,The Greatest Showman,5
2018,Darkest Hour,4
2018,Coco,3
2018,Darkest Hour,2
2018,Jumanji: Welcome to the Jungle,1
2019,Star Wars: Episode IX - The Rise of Skywalker,52
2019,Star Wars: Episode IX - The Rise of Skywalker,51
2019,Jumanji: The Next Level,50
2019,Frozen II,49
2019,Frozen II,48
2019,Frozen II,47
2019,Last Christmas,46
2019,Joker,45
2019,Joker,44
2019,Joker,43
2019,Joker,42
2019,Joker,41
2019,Joker,40
2019,Downton Abbey,39
2019,Downton Abbey,38
2019,Downton Abbey,37
2019,It Chapter Two,36
2019,Once Upon a Time in Hollywood,35
2019,Angel Has Fallen,34
2019,Once Upon a Time in Hollywood,33
2019,The Lion King,32
2019,Fast & Furious Presents: Hobbs & Shaw,31
2019,The Lion King,30
2019,The Lion King,29
2019,Spider-Man: Far from Home,28
2019,Spider-Man: Far from Home,27
2019,Toy Story 4,26
2019,Toy Story 4,25
2019,Aladdin,24
2019,Aladdin,23
2019,Aladdin,22
2019,Aladdin,21
2019,John Wick: Chapter 3 - Parabellum,20
2019,Pokémon: Detective Pikachu,19
2019,Avengers: Endgame,18
2019,Avengers: Endgame,17
2019,Shazam!,16
2019,Dumbo,15
2019,Shazam!,14
2019,Dumbo,13
2019,Captain Marvel,12
2019,Captain Marvel,11
2019,Captain Marvel,10
2019,Fighting with My Family,9
2019,The Lego Movie 2: The Second Part,8
2019,The Lego Movie 2: The Second Part,7
2019,The Lego Movie 2: The Second Part,6
2019,How to Train Your Dragon: The Hidden World,5
2019,Glass,4
